year,season,crop,region,district,irrigation,land_area_ha,fertilizer_kg,rainfall_mm,farmer_experience_yrs,yield_t_ha,production_kg,price_rs_per_kg,total_revenue_rs
2023,Yala,Capsicum,Low country,Ratnapura,Irrigated,0.273,25.0,277.8,1,8.364,2165.6,264.91,573689.1
2023,Yala,Luffa,Low country,Ratnapura,Irrigated,0.169,18.7,135.3,18,12.684,2252.9,159.42,359157.32
2018,Maha,Ladies fingers,Low country,Gampaha,Irrigated,0.145,18.5,178.3,20,9.695,1415.4,88.51,125277.05
2018,Yala,Cucumber,Low country,Kalutara,Irrigated,0.407,95.0,244.4,15,13.892,5632.1,41.82,235534.42
2019,Maha,Leeks,Up country,Nuwara Eliya,Irrigated,0.177,14.2,205.6,15,32.816,5876.2,79.83,469097.05
2023,Maha,Knol-khol,Up country,Kandy,Rainfed,0.423,66.0,238.3,0,9.669,4058.2,101.43,411623.23
2021,Yala,Cucumber,Low country,Kalutara,Irrigated,0.308,27.3,201.8,9,12.023,3889.9,59.12,229970.89
2022,Maha,Tomato,Up country,Badulla,Irrigated,1.078,180.6,254.6,15,20.555,22938.8,95.24,2184691.31
2020,Yala,Carrot,Up country,Kandy,Irrigated,0.241,34.3,220.3,18,19.612,4837.0,139.93,676841.41
2016,Yala,Bitter gourd,Low country,Ratnapura,Rainfed,0.387,67.9,108.1,3,9.028,3648.8,96.93,353678.18
2021,Yala,Beetroot,Up country,Nuwara Eliya,Irrigated,0.514,83.3,154.3,15,27.71,13257.7,87.93,1165749.56
2021,Maha,Ash pumpkin,Low country,Kalutara,Rainfed,0.633,116.4,115.7,18,14.168,9071.4,49.79,451665.01
2024,Yala,Capsicum,Low country,Kalutara,Rainfed,0.498,82.3,210.0,3,6.53,3237.0,225.84,731044.08
2022,Maha,Capsicum,Low country,Kalutara,Irrigated,0.219,44.6,201.4,18,11.18,2454.0,232.27,569990.58
2023,Maha,Tomato,Up country,Nuwara Eliya,Irrigated,0.09,18.3,53.9,1,16.685,1514.5,201.38,304990.01
2019,Maha,Luffa,Low country,Kalutara,Irrigated,0.602,91.7,121.7,15,9.478,5313.9,84.28,447855.49
2024,Yala,Bean (green),Up country,Nuwara Eliya,Rainfed,0.451,54.9,139.2,13,11.337,5194.2,157.74,819333.11
2024,Maha,Cucumber,Low country,Gampaha,Rainfed,0.333,32.7,61.1,0,12.926,4047.8,72.37,292939.29
2023,Yala,Knol-khol,Up country,Nuwara Eliya,Rainfed,0.472,96.3,155.5,5,16.503,7766.5,84.93,659608.85
2022,Yala,Ash plantain,Low country,Gampaha,Irrigated,0.311,51.5,87.6,15,17.177,5117.7,72.38,370419.13
2022,Maha,Carrot,Up country,Kandy,Irrigated,0.258,43.2,138.6,14,17.953,4545.7,177.84,808407.29
2024,Maha,Ash plantain,Low country,Gampaha,Irrigated,0.134,22.2,142.1,14,13.691,1900.3,127.17,241661.15
2017,Maha,Snake gourd,Low country,Kalutara,Irrigated,0.458,68.3,168.8,5,13.628,6310.7,55.74,351758.42
2021,Yala,Red pumpkin,Low country,Gampaha,Irrigated,0.288,32.1,170.9,8,20.854,6210.0,80.08,497296.8
2021,Yala,Ash pumpkin,Low country,Ratnapura,Irrigated,0.315,80.0,163.4,23,15.16,4779.7,64.6,308768.62
2024,Maha,Ladies fingers,Low country,Kurunegala,Irrigated,0.358,63.2,215.1,14,10.032,3497.6,103.32,361372.03
2019,Yala,Beetroot,Up country,Nuwara Eliya,Irrigated,0.82,74.0,231.8,19,16.523,12741.1,59.31,755674.64
2017,Yala,Knol-khol,Up country,Badulla,Irrigated,0.27,45.6,56.3,9,21.294,5662.6,52.85,299268.41
2016,Maha,Snake gourd,Low country,Ratnapura,Irrigated,0.526,113.3,91.8,4,13.39,7239.6,57.87,418955.65
2017,Yala,Cucumber,Low country,Kurunegala,Irrigated,0.292,62.0,128.3,4,17.392,5113.1,36.95,188929.05
2016,Yala,Knol-khol,Up country,Kandy,Irrigated,0.656,77.7,48.8,5,16.984,10338.2,41.81,432240.14
2021,Yala,Red pumpkin,Low country,Ratnapura,Rainfed,0.361,63.7,173.1,16,11.441,4215.5,79.42,334795.01
2023,Yala,Ash pumpkin,Low country,Kurunegala,Irrigated,0.323,37.0,145.8,14,12.471,3876.8,78.86,305724.45
2017,Maha,Bitter gourd,Low country,Ratnapura,Irrigated,0.708,111.5,63.1,11,10.987,7905.8,91.56,723855.05
2022,Maha,Tomato,Up country,Nuwara Eliya,Irrigated,0.137,22.5,10.0,2,20.694,2804.3,155.52,436124.74
2023,Maha,Bitter gourd,Low country,Kurunegala,Irrigated,1.818,390.0,76.7,13,9.41,17231.7,124.87,2151722.38
2022,Yala,Cucumber,Low country,Ratnapura,Irrigated,0.118,21.5,164.5,0,11.507,1334.3,78.53,104782.58
2023,Maha,Knol-khol,Up country,Badulla,Irrigated,0.254,42.6,48.9,16,12.936,3360.1,94.19,316487.82
2022,Yala,Radish,Up country,Nuwara Eliya,Rainfed,0.568,90.7,113.2,23,13.252,7691.2,48.67,374330.7
2016,Maha,Knol-khol,Up country,Kandy,Irrigated,0.255,52.2,87.6,0,12.592,3176.8,62.62,198931.22
2023,Yala,Ash pumpkin,Low country,Kalutara,Irrigated,0.095,10.0,184.8,16,14.947,1413.7,110.98,156892.43
2023,Maha,Ash plantain,Low country,Ratnapura,Rainfed,0.463,37.4,159.9,8,9.424,4439.3,81.07,359894.05
2017,Maha,Carrot,Up country,Badulla,Irrigated,0.178,27.9,222.8,9,25.63,4435.0,109.48,485543.8
2022,Yala,Red pumpkin,Low country,Kurunegala,Irrigated,0.315,53.2,118.6,0,12.341,3693.1,85.35,315206.08
2021,Yala,Carrot,Up country,Badulla,Irrigated,0.151,25.3,173.3,10,24.658,4000.9,152.35,609537.12
2020,Yala,Bitter gourd,Low country,Kalutara,Rainfed,0.275,57.7,122.5,8,10.02,2820.7,152.16,429197.71
2019,Yala,Cucumber,Low country,Ratnapura,Irrigated,0.075,8.4,95.1,10,11.544,806.7,72.81,58735.83
2016,Maha,Cucumber,Low country,Kalutara,Irrigated,0.39,67.1,136.7,17,14.262,5404.3,34.44,186124.09
2017,Maha,Cabbage,Up country,Nuwara Eliya,Rainfed,0.403,71.5,128.9,3,15.695,6026.7,74.32,447904.34
2018,Maha,Ash pumpkin,Low country,Kalutara,Irrigated,0.132,23.9,81.6,3,19.755,2636.2,55.21,145544.6
2017,Maha,Red pumpkin,Low country,Ratnapura,Irrigated,0.353,64.4,52.8,0,15.179,5486.2,60.87,333944.99
2021,Maha,Ash plantain,Low country,Gampaha,Irrigated,0.101,17.2,127.7,4,14.728,1564.3,100.0,156430.0
2024,Maha,Leeks,Up country,Nuwara Eliya,Irrigated,1.89,348.1,188.4,15,39.594,72764.6,78.05,5679277.03
2019,Yala,Leeks,Up country,Nuwara Eliya,Irrigated,0.656,83.7,73.2,25,23.072,15162.4,85.44,1295475.46
2018,Yala,Leeks,Up country,Kandy,Rainfed,1.12,185.7,153.6,1,24.896,26959.6,59.01,1590886.0
2016,Yala,Knol-khol,Up country,Nuwara Eliya,Rainfed,0.795,112.8,85.1,10,12.643,10065.3,40.2,404625.06
2021,Maha,Brinjal,Low country,Gampaha,Irrigated,0.545,104.9,211.6,12,9.638,5411.6,70.05,379082.58
2020,Maha,Bitter gourd,Low country,Ratnapura,Irrigated,0.54,54.2,130.9,13,16.702,8988.9,109.39,983295.77
2023,Maha,Snake gourd,Low country,Gampaha,Irrigated,0.279,44.5,166.4,2,13.378,3682.3,121.43,447141.69
2017,Yala,Knol-khol,Up country,Nuwara Eliya,Rainfed,0.516,78.0,151.9,11,7.149,3483.7,59.52,207349.82
2022,Yala,Beetroot,Up country,Kandy,Rainfed,1.311,149.8,130.4,23,14.472,18550.0,69.82,1295161.0
2016,Maha,Tomato,Up country,Kandy,Rainfed,0.418,68.7,340.7,18,14.087,5905.5,84.31,497892.7
2021,Maha,Radish,Up country,Badulla,Rainfed,0.282,42.4,170.2,15,14.802,4202.8,59.38,249562.26
2024,Maha,Bean (green),Up country,Badulla,Irrigated,0.138,25.3,69.5,8,13.106,1768.9,210.52,372388.83
2018,Maha,Beetroot,Up country,Badulla,Irrigated,0.191,13.7,149.3,10,15.63,2814.7,93.2,262330.04
2023,Maha,Leeks,Up country,Kandy,Rainfed,0.828,133.7,224.7,8,15.503,12409.3,116.88,1450398.98
2023,Yala,Tomato,Up country,Nuwara Eliya,Irrigated,0.268,51.4,109.4,5,19.144,5074.9,142.46,722970.25
2019,Yala,Capsicum,Low country,Kalutara,Irrigated,0.439,102.0,136.5,1,11.533,4969.4,174.94,869346.84
2023,Maha,Radish,Up country,Nuwara Eliya,Irrigated,0.548,107.5,236.2,16,16.352,9219.3,50.8,468340.44
2018,Maha,Brinjal,Low country,Gampaha,Irrigated,0.212,47.8,139.8,15,11.59,2447.1,84.52,206828.89
2017,Maha,Cucumber,Low country,Kalutara,Irrigated,0.569,98.8,80.9,11,21.095,12115.8,28.68,347481.14
2017,Maha,Red pumpkin,Low country,Gampaha,Rainfed,0.79,107.3,170.2,0,14.087,11231.3,41.02,460707.93
2022,Yala,Cabbage,Up country,Kandy,Irrigated,0.571,116.9,121.0,29,25.61,14299.1,75.18,1075006.34
2023,Yala,Bean (green),Up country,Kandy,Irrigated,0.449,42.8,134.7,6,11.061,4956.0,154.9,767684.4
2017,Yala,Tomato,Up country,Badulla,Irrigated,0.375,40.7,216.3,8,22.452,8176.8,79.13,647030.18
2020,Maha,Bitter gourd,Low country,Ratnapura,Rainfed,0.129,22.6,65.7,14,11.132,1452.0,200.74,291474.48
2024,Maha,Capsicum,Low country,Ratnapura,Irrigated,0.283,57.3,143.4,14,13.074,3899.9,254.37,992017.56
2020,Yala,Cabbage,Up country,Kandy,Rainfed,0.754,132.2,150.2,14,20.383,15180.2,70.72,1073543.74
2021,Maha,Leeks,Up country,Kandy,Rainfed,0.54,45.3,87.3,3,22.488,11964.7,97.78,1169908.37
2018,Yala,Carrot,Up country,Nuwara Eliya,Irrigated,0.647,113.0,23.5,9,23.214,15206.6,84.9,1291040.34
2018,Yala,Ladies fingers,Low country,Ratnapura,Irrigated,0.891,150.9,118.3,11,11.929,10464.9,49.18,514663.78
2019,Maha,Luffa,Low country,Ratnapura,Rainfed,0.676,104.1,104.3,5,9.282,6403.4,79.48,508942.23
2024,Yala,Tomato,Up country,Kandy,Rainfed,0.564,139.9,67.4,23,12.973,7347.0,121.66,893836.02
2018,Yala,Ladies fingers,Low country,Ratnapura,Irrigated,0.568,110.8,111.3,11,12.116,6781.8,53.87,365335.57
2023,Maha,Bean (green),Up country,Badulla,Rainfed,0.384,33.1,95.2,13,8.328,3173.0,199.7,633648.1
2021,Maha,Bean (green),Up country,Badulla,Rainfed,1.193,181.9,156.6,8,10.446,12624.4,98.85,1247921.94
2023,Yala,Ash plantain,Low country,Gampaha,Irrigated,0.33,51.9,110.6,21,11.576,3915.7,90.94,356093.76
2022,Yala,Beetroot,Up country,Nuwara Eliya,Rainfed,1.032,176.2,84.2,17,22.067,23181.4,71.4,1655151.96
2023,Yala,Brinjal,Low country,Kurunegala,Irrigated,0.764,107.2,156.1,12,15.136,11156.7,81.84,913064.33
2017,Maha,Snake gourd,Low country,Gampaha,Irrigated,0.194,27.2,138.9,9,14.577,2759.9,86.86,239724.91
2017,Maha,Capsicum,Low country,Kurunegala,Irrigated,0.084,17.3,140.1,22,8.307,686.0,226.16,155145.76
2022,Maha,Ladies fingers,Low country,Kalutara,Irrigated,0.408,52.3,150.9,17,8.177,3133.7,113.45,355518.26
2017,Maha,Capsicum,Low country,Gampaha,Irrigated,0.88,112.3,191.9,12,11.331,10057.9,130.83,1315875.06
2024,Yala,Carrot,Up country,Kandy,Rainfed,0.14,12.6,90.9,5,13.566,1890.1,250.13,472770.71
2022,Maha,Radish,Up country,Kandy,Irrigated,0.31,34.1,144.9,0,10.404,3209.1,65.75,210998.32
2019,Maha,Radish,Up country,Badulla,Irrigated,0.556,97.5,149.4,0,16.052,8711.7,43.58,379655.89
2021,Yala,Ladies fingers,Low country,Kurunegala,Irrigated,0.366,65.8,266.0,27,13.809,5011.9,73.51,368424.77
2022,Maha,Ash plantain,Low country,Gampaha,Irrigated,0.184,26.8,111.0,6,9.961,1854.4,86.65,160683.76
2016,Maha,Radish,Up country,Badulla,Irrigated,0.508,61.7,10.0,0,17.334,8760.3,28.97,253785.89
2021,Maha,Bean (green),Up country,Nuwara Eliya,Irrigated,1.098,199.1,95.9,16,15.705,17461.1,107.75,1881433.52
2024,Maha,Beetroot,Up country,Nuwara Eliya,Irrigated,0.622,95.4,169.6,5,11.065,6634.5,111.81,741803.44
2018,Yala,Ash plantain,Low country,Gampaha,Irrigated,1.302,167.6,212.7,12,12.363,16909.6,39.45,667083.72
2024,Yala,Radish,Up country,Kandy,Irrigated,0.126,20.5,106.5,6,31.677,3903.5,78.71,307244.48
2019,Maha,Luffa,Low country,Kalutara,Irrigated,0.283,37.4,147.0,11,13.228,3835.2,90.75,348044.4
2024,Yala,Ash pumpkin,Low country,Kurunegala,Irrigated,0.635,104.7,112.6,12,23.391,14676.0,44.3,650146.8
2022,Yala,Bitter gourd,Low country,Gampaha,Irrigated,0.345,62.8,153.6,14,11.177,3625.7,175.2,635222.64
2023,Yala,Snake gourd,Low country,Kalutara,Irrigated,0.754,48.9,165.5,18,13.785,10276.4,82.5,847803.0
2023,Yala,Beetroot,Up country,Kandy,Irrigated,0.197,35.5,134.9,0,15.426,3096.5,121.69,376813.08
2019,Yala,Capsicum,Low country,Ratnapura,Irrigated,0.313,52.1,183.9,26,9.122,2799.8,197.33,552484.53
2020,Yala,Beetroot,Up country,Nuwara Eliya,Irrigated,0.993,86.9,163.7,19,18.56,18414.8,56.13,1033622.72
2017,Yala,Luffa,Low country,Ratnapura,Irrigated,0.709,114.1,174.7,26,8.202,5970.8,69.69,416105.05
2021,Yala,Knol-khol,Up country,Nuwara Eliya,Rainfed,0.346,44.7,88.1,30,11.712,4109.8,77.96,320400.01
2022,Maha,Bitter gourd,Low country,Gampaha,Irrigated,0.375,61.5,264.8,15,13.057,4701.6,154.86,728089.78
2024,Maha,Brinjal,Low country,Ratnapura,Irrigated,0.336,62.0,127.2,15,13.571,4323.6,112.22,485194.39
2016,Maha,Carrot,Up country,Kandy,Rainfed,0.835,71.6,148.5,14,16.516,13958.3,70.06,977918.5
2020,Maha,Leeks,Up country,Badulla,Rainfed,1.228,176.1,44.9,12,14.384,17492.7,69.23,1211019.62
2016,Yala,Cabbage,Up country,Nuwara Eliya,Rainfed,0.205,34.5,37.7,26,25.888,5209.6,62.22,324141.31
2020,Maha,Cucumber,Low country,Gampaha,Rainfed,0.141,18.4,115.2,17,12.667,1778.1,70.35,125089.33
2020,Maha,Radish,Up country,Kandy,Irrigated,0.597,119.7,232.1,5,21.428,12200.0,42.12,513864.0
2019,Maha,Ash plantain,Low country,Gampaha,Rainfed,0.415,85.6,160.9,4,9.467,3976.6,57.35,228058.01
2018,Yala,Cabbage,Up country,Badulla,Rainfed,0.711,60.1,164.2,11,19.193,13293.8,62.89,836047.08
2024,Maha,Snake gourd,Low country,Kalutara,Irrigated,0.942,195.6,141.4,14,13.409,12108.6,81.43,986003.3
2020,Maha,Ladies fingers,Low country,Kurunegala,Rainfed,0.261,35.0,238.0,11,8.449,2194.6,88.07,193278.42
2021,Yala,Carrot,Up country,Kandy,Irrigated,0.532,89.5,209.3,12,21.173,10965.7,109.79,1203924.2
2020,Maha,Bean (green),Up country,Kandy,Irrigated,0.108,6.4,138.6,10,15.435,1666.1,185.57,309178.18
2024,Maha,Ladies fingers,Low country,Gampaha,Irrigated,1.461,238.5,196.7,5,12.023,17630.2,63.66,1122338.53
2020,Yala,Capsicum,Low country,Kalutara,Irrigated,0.465,49.8,128.8,3,8.751,3992.2,189.48,756442.06
2022,Yala,Knol-khol,Up country,Kandy,Rainfed,0.168,27.4,137.3,15,10.281,1791.8,118.17,211737.01
2022,Yala,Brinjal,Low country,Gampaha,Irrigated,0.449,31.5,49.1,13,14.608,6735.1,82.56,556049.86
2020,Maha,Beetroot,Up country,Kandy,Irrigated,0.095,13.6,124.5,20,7.096,671.4,139.85,93895.29
2016,Yala,Capsicum,Low country,Gampaha,Irrigated,0.646,66.8,270.5,4,10.583,7037.5,109.37,769691.38
2023,Maha,Carrot,Up country,Kandy,Rainfed,1.268,184.8,231.8,10,19.842,25334.9,111.1,2814707.39
2021,Yala,Tomato,Up country,Badulla,Irrigated,0.547,74.0,67.4,6,14.485,7784.8,103.3,804169.84
2017,Yala,Brinjal,Low country,Gampaha,Rainfed,0.364,37.9,93.6,6,10.235,3638.9,70.31,255851.06
2018,Yala,Radish,Up country,Kandy,Irrigated,0.124,18.5,62.8,1,22.427,2801.4,45.35,127043.49
2021,Yala,Brinjal,Low country,Gampaha,Rainfed,0.527,64.2,142.8,0,11.746,6291.2,71.89,452274.37
2017,Maha,Cabbage,Up country,Badulla,Irrigated,0.289,34.9,172.7,15,16.475,4735.0,61.93,293238.55
2024,Maha,Bitter gourd,Low country,Kalutara,Irrigated,0.183,17.0,131.3,22,14.432,2734.6,217.53,594857.54
2023,Maha,Knol-khol,Up country,Nuwara Eliya,Rainfed,0.305,46.7,109.3,16,10.132,3085.1,99.83,307985.53
2023,Maha,Snake gourd,Low country,Gampaha,Irrigated,0.23,45.3,161.5,21,14.884,3499.9,102.65,359264.74
2018,Maha,Knol-khol,Up country,Kandy,Irrigated,0.912,136.2,167.0,20,9.68,8871.6,46.54,412884.26
2019,Yala,Beetroot,Up country,Kandy,Rainfed,0.349,61.4,60.5,12,15.517,5022.4,93.7,470598.88
2021,Yala,Brinjal,Low country,Ratnapura,Irrigated,0.242,32.5,135.8,0,14.976,3675.9,93.1,342226.29
2024,Maha,Radish,Up country,Kandy,Rainfed,0.448,99.4,221.5,6,14.269,6369.4,61.75,393310.45
2023,Yala,Ladies fingers,Low country,Kalutara,Irrigated,0.241,40.4,136.4,0,7.622,1842.3,115.64,213043.57
2021,Maha,Knol-khol,Up country,Badulla,Rainfed,0.329,65.6,111.6,17,7.062,2288.8,97.72,223661.54
2016,Yala,Cucumber,Low country,Kurunegala,Irrigated,0.783,100.7,75.1,15,10.383,7788.2,34.42,268069.84
2018,Yala,Tomato,Up country,Kandy,Irrigated,0.474,27.0,164.2,27,16.025,7622.5,84.33,642805.42
2021,Maha,Cabbage,Up country,Badulla,Irrigated,0.36,52.3,89.2,13,15.357,5627.6,92.82,522353.83
2018,Yala,Brinjal,Low country,Kurunegala,Irrigated,0.149,33.8,217.6,12,11.912,1739.6,85.13,148092.15
2021,Yala,Ash pumpkin,Low country,Kurunegala,Rainfed,0.418,38.6,119.0,19,12.549,5213.8,60.23,314027.17
2017,Maha,Carrot,Up country,Badulla,Rainfed,0.442,43.1,190.3,5,20.908,9381.2,108.46,1017484.95
2022,Yala,Red pumpkin,Low country,Gampaha,Irrigated,0.794,101.2,216.0,17,13.781,10729.8,72.78,780914.84
2021,Maha,Leeks,Up country,Badulla,Irrigated,0.429,46.2,86.9,10,20.957,8812.8,106.76,940854.53
2018,Yala,Tomato,Up country,Nuwara Eliya,Irrigated,3.344,729.8,217.2,14,19.147,61539.8,64.76,3985317.45
2020,Yala,Snake gourd,Low country,Kalutara,Irrigated,1.217,134.7,191.3,21,16.316,18412.6,54.87,1010299.36
2020,Yala,Luffa,Low country,Kurunegala,Irrigated,0.871,120.1,38.9,9,10.099,8866.7,77.51,687257.92
2017,Yala,Carrot,Up country,Badulla,Rainfed,0.292,39.0,155.5,0,17.757,5131.1,108.62,557340.08
2020,Yala,Knol-khol,Up country,Kandy,Rainfed,0.836,125.1,160.2,8,6.56,5527.5,71.21,393613.28
2024,Maha,Capsicum,Low country,Kurunegala,Irrigated,0.334,58.8,97.2,17,8.072,2797.8,262.1,733303.38
2024,Maha,Snake gourd,Low country,Kalutara,Rainfed,0.343,57.1,184.7,12,11.937,3957.8,114.68,453880.5
2019,Maha,Ladies fingers,Low country,Ratnapura,Rainfed,0.207,18.6,71.4,0,7.605,1615.0,91.35,147530.25
2020,Yala,Beetroot,Up country,Kandy,Irrigated,0.668,118.1,178.5,6,21.297,14091.6,67.05,944841.78
2023,Maha,Cucumber,Low country,Gampaha,Irrigated,0.143,27.2,167.4,13,13.403,1992.2,65.87,131226.21
2024,Yala,Ash pumpkin,Low country,Gampaha,Irrigated,0.485,49.6,86.1,0,16.409,7813.6,69.5,543045.2
2020,Yala,Ladies fingers,Low country,Kalutara,Irrigated,0.12,18.5,29.5,14,13.364,1582.8,75.19,119010.73
2022,Yala,Knol-khol,Up country,Badulla,Rainfed,0.611,38.9,134.0,7,12.062,7117.2,64.23,457137.76
2019,Maha,Ladies fingers,Low country,Kalutara,Irrigated,0.181,26.3,187.1,2,11.263,2080.7,77.31,160858.92
2022,Yala,Ash pumpkin,Low country,Gampaha,Rainfed,0.564,18.8,221.4,0,12.436,7124.8,60.86,433615.33
2021,Yala,Ash plantain,Low country,Kalutara,Irrigated,0.135,26.4,146.7,2,12.484,1592.7,98.11,156259.8
2022,Maha,Snake gourd,Low country,Kurunegala,Irrigated,0.704,142.1,69.0,24,10.307,7070.4,90.48,639729.79
2023,Maha,Bitter gourd,Low country,Kalutara,Irrigated,0.223,14.0,127.2,0,10.668,2289.9,238.22,545499.98
2019,Yala,Brinjal,Low country,Ratnapura,Irrigated,1.823,225.8,162.9,3,14.102,24344.3,54.38,1323843.03
2024,Yala,Bean (green),Up country,Badulla,Rainfed,0.262,36.8,105.9,15,9.258,2405.6,206.23,496106.89
2017,Maha,Ash pumpkin,Low country,Kalutara,Irrigated,0.739,161.0,69.6,18,16.891,12520.0,35.21,440829.2
2016,Maha,Capsicum,Low country,Gampaha,Irrigated,0.587,82.1,102.8,9,9.055,5316.0,133.57,710058.12
2019,Yala,Bitter gourd,Low country,Ratnapura,Irrigated,0.147,27.6,155.3,15,16.418,2423.3,155.24,376193.09
2021,Yala,Capsicum,Low country,Kurunegala,Rainfed,2.14,342.5,65.7,20,6.387,13842.5,128.94,1784851.95
2020,Maha,Carrot,Up country,Nuwara Eliya,Rainfed,0.65,97.2,245.4,13,19.287,12785.0,109.09,1394715.65
2016,Maha,Cucumber,Low country,Ratnapura,Irrigated,0.581,85.6,70.0,0,13.104,7646.8,34.06,260450.01
2023,Maha,Cabbage,Up country,Nuwara Eliya,Irrigated,0.284,38.1,156.8,17,26.853,7778.7,104.47,812640.79
2017,Maha,Brinjal,Low country,Ratnapura,Rainfed,0.507,60.6,67.3,4,11.987,6427.9,53.31,342671.35
2017,Maha,Beetroot,Up country,Badulla,Rainfed,0.175,46.3,172.0,16,9.978,1808.2,97.25,175847.45
2021,Maha,Snake gourd,Low country,Kurunegala,Rainfed,0.179,29.6,131.5,10,11.294,2039.6,114.78,234105.29
2016,Maha,Ash plantain,Low country,Ratnapura,Rainfed,0.351,49.0,153.4,1,7.592,2506.7,52.69,132078.02
2019,Maha,Snake gourd,Low country,Kalutara,Irrigated,0.205,32.0,211.3,18,15.34,3031.1,87.04,263826.94
2020,Yala,Bean (green),Up country,Badulla,Irrigated,0.577,105.5,155.7,18,14.318,8300.6,104.16,864590.5
2024,Maha,Capsicum,Low country,Kalutara,Irrigated,1.294,234.0,133.2,7,7.515,9515.3,206.58,1965670.67
2023,Yala,Cucumber,Low country,Ratnapura,Irrigated,0.476,75.2,179.4,9,16.332,7993.5,57.84,462344.04
2018,Maha,Bean (green),Up country,Kandy,Rainfed,0.726,110.8,148.3,13,10.996,7786.5,96.25,749450.62
2021,Yala,Capsicum,Low country,Kalutara,Irrigated,0.906,147.7,102.1,9,12.951,11601.4,147.2,1707726.08
2017,Yala,Snake gourd,Low country,Ratnapura,Rainfed,1.045,173.3,106.8,6,10.839,12249.0,50.15,614287.35
2023,Maha,Radish,Up country,Badulla,Irrigated,0.447,47.9,163.5,16,18.62,8117.4,55.06,446944.04
2021,Maha,Knol-khol,Up country,Nuwara Eliya,Rainfed,0.233,40.8,186.3,21,8.191,1980.6,86.15,170628.69
2024,Yala,Snake gourd,Low country,Gampaha,Rainfed,0.256,26.0,170.1,12,8.554,2171.1,138.13,299894.04
2016,Yala,Ash plantain,Low country,Ratnapura,Irrigated,0.307,33.8,45.6,12,16.171,4691.1,53.08,249003.59
2018,Yala,Ash plantain,Low country,Gampaha,Irrigated,0.614,93.0,160.4,0,11.647,6933.1,56.22,389778.88
2021,Maha,Brinjal,Low country,Kalutara,Irrigated,0.221,38.5,214.9,9,11.379,2520.4,99.83,251611.53
2023,Yala,Cabbage,Up country,Kandy,Irrigated,0.294,64.9,98.0,12,36.839,11233.7,80.76,907233.61
